,player_name,hand_id,starting_bankroll,net_earning,player_cards,play_cards_value,community_cards,WIN,T_CARDS,best_hand
11155,Babybear,1003098905,2669,-90,8hKc,8K,4hQsAs8c9s,False,8H KC 4H QS AS 8C 9S,"('one-pair', ['8', 'A', 'K', 'Q'])"
11156,Babybear,1003118996,2579,10,Jc7d,J7,3cAcQs6s2s,True,JC 7D 3C AC QS 6S 2S,"('high_card', 'Q')"
11157,Babybear,1003119021,2589,-50,AhKs,AK,3sQhTc7sQs,False,AH KS 3S QH TC 7S QS,"('one-pair', ['Q', 'A', 'K', 'T'])"
11158,Babybear,1003119067,2589,-20,KcTc,KT,2d5h2c8c8s,False,KC TC 2D 5H 2C 8C 8S,"('two-pair', ['8', '2', 'K'])"
11159,Babybear,1003119146,2569,25,7hTs,7T,5c4dTc4sJh,True,7H TS 5C 4D TC 4S JH,"('two-pair', ['T', '4', 'J'])"
11160,Babybear,1003119305,2579,140,JsAd,JA,Jh9h9d2h7d,True,JS AD JH 9H 9D 2H 7D,"('two-pair', ['J', '9', 'A'])"
11161,Babybear,1003119343,2719,0,6s3h,63,Jh5d5hTc6d,False,6S 3H JH 5D 5H TC 6D,"('two-pair', ['6', '5', 'J'])"
11162,Babybear,1003119379,2714,5,3dKd,3K,As5cKsAdTs,True,3D KD AS 5C KS AD TS,"('two-pair', ['A', 'K', 'T'])"
11163,Babybear,1003119448,2704,-10,Qd7d,Q7,TsKh3d7hJd,False,QD 7D TS KH 3D 7H JD,"('one-pair', ['7', 'K', 'Q', 'J'])"
11164,Babybear,1003119480,2694,80,7sQc,7Q,Qs4s7dTc8s,True,7S QC QS 4S 7D TC 8S,"('two-pair', ['Q', '7', 'T'])"
11165,Babybear,1003119558,2784,-10,6dKs,6K,5d8h3d5s2c,False,6D KS 5D 8H 3D 5S 2C,"('one-pair', ['5', 'K', '8', '6'])"
11166,Babybear,1003119637,2759,-70,5hAs,5A,Ts2dTdAc7d,False,5H AS TS 2D TD AC 7D,"('two-pair', ['A', 'T', '7'])"
11167,Babybear,1003119762,2694,-10,3dAc,3A,6d2c9c8dQh,False,3D AC 6D 2C 9C 8D QH,"('high_card', 'Q')"
11168,Babybear,1003119892,2739,-30,Ks3d,K3,3s8dTsQs5d,False,KS 3D 3S 8D TS QS 5D,"('one-pair', ['3', 'K', 'Q', 'T'])"
11169,Babybear,1003119988,2699,-10,Qs2h,Q2,Ac5h3cTh5s,False,QS 2H AC 5H 3C TH 5S,"('one-pair', ['5', 'A', 'Q', 'T'])"
11170,Babybear,1003120137,2669,-40,9sTc,9T,Ah2dTs8hKd,False,9S TC AH 2D TS 8H KD,"('one-pair', ['T', 'A', 'K', '9'])"
11171,Babybear,1003120231,2629,35,TcAs,TA,9h6d6h9dTs,True,TC AS 9H 6D 6H 9D TS,"('two-pair', ['T', '9', 'A'])"
11172,Babybear,1003120320,2664,-10,Tc5d,T5,7s9dAc5cQs,False,TC 5D 7S 9D AC 5C QS,"('one-pair', ['5', 'A', 'Q', 'T'])"
11173,Babybear,1003120362,2654,-50,5d5h,55,6dThAh3s6h,False,5D 5H 6D TH AH 3S 6H,"('two-pair', ['6', '5', 'A'])"
11174,Babybear,1003120453,2599,-30,9cJs,9J,3c2cTh3s7h,False,9C JS 3C 2C TH 3S 7H,"('one-pair', ['3', 'J', 'T', '9'])"
11175,Babybear,1003120469,2569,-40,9h9d,99,6h8c2c7c9s,False,9H 9D 6H 8C 2C 7C 9S,"('three-of-a-kind', '9')"
11176,Babybear,1003120490,2529,-40,5dAh,5A,Qd8s5s2c8c,False,5D AH QD 8S 5S 2C 8C,"('two-pair', ['8', '5', 'A'])"
11177,Babybear,1003193496,2489,100,KdTd,KT,As2hTh7d6d,True,KD TD AS 2H TH 7D 6D,"('one-pair', ['T', 'A', 'K', '7'])"
11178,Babybear,1003215168,2689,80,7c7s,77,9c5hTc6c7h,True,7C 7S 9C 5H TC 6C 7H,"('three-of-a-kind', '7')"
11179,Babybear,1003215278,2764,-80,JsAs,JA,2d2c4dJc3d,False,JS AS 2D 2C 4D JC 3D,"('two-pair', ['J', '2', 'A'])"
11180,Babybear,1003215391,2664,50,7d5h,75,9hAc5c7h8s,True,7D 5H 9H AC 5C 7H 8S,"('two-pair', ['7', '5', 'A'])"
11181,Babybear,1003215436,2714,-70,Qs9d,Q9,Ah3hQh2c2s,False,QS 9D AH 3H QH 2C 2S,"('two-pair', ['Q', '2', 'A'])"
11182,Babybear,1003216425,2579,30,Tc5s,T5,6h8d7c9dTh,True,TC 5S 6H 8D 7C 9D TH,"('straight', 'T')"
11183,Babybear,1003216570,2599,-130,Ad3d,A3,5d5cTd7cAs,False,AD 3D 5D 5C TD 7C AS,"('two-pair', ['A', '5', 'T'])"
11184,Babybear,1003217380,2334,280,Qh7h,Q7,8hKs6h6c5h,True,QH 7H 8H KS 6H 6C 5H,"('flush', ['Q', '8', '7', '6', '5'])"
11185,Babybear,1003217461,2614,320,AcQs,AQ,4sJc6dThKh,True,AC QS 4S JC 6D TH KH,"('straight', 'A')"
11186,Babybear,1003217560,2904,180,Kc5d,K5,Ah5c3s8h5h,True,KC 5D AH 5C 3S 8H 5H,"('three-of-a-kind', '5')"
11187,Babybear,1003217627,3084,215,TsQc,TQ,Kc7dQsTd8c,True,TS QC KC 7D QS TD 8C,"('two-pair', ['Q', 'T', 'K'])"
11188,Babybear,1003218350,3754,-120,KdJd,KJ,5dKcTs2d7s,False,KD JD 5D KC TS 2D 7S,"('one-pair', ['K', 'J', 'T', '7'])"
11189,Babybear,1003218455,3629,320,JhQd,JQ,8h9dQc2hKc,True,JH QD 8H 9D QC 2H KC,"('one-pair', ['Q', 'K', 'J', '9'])"
11190,Babybear,1003219032,3899,-130,Qh7h,Q7,AdAcJsJdQc,False,QH 7H AD AC JS JD QC,"('two-pair', ['A', 'J', 'Q'])"
11191,Babybear,1003219102,3769,-140,Qd6d,Q6,3h2dTd4d5h,False,QD 6D 3H 2D TD 4D 5H,"('flush', ['Q', 'T', '6', '4', '2'])"
11192,Babybear,1003287491,3564,20,Jc4d,J4,AsTc8sKs7h,True,JC 4D AS TC 8S KS 7H,"('high_card', 'K')"
11193,Babybear,1003287510,3584,10,Ac3h,A3,4h4d9cQh5c,True,AC 3H 4H 4D 9C QH 5C,"('one-pair', ['4', 'A', 'Q', '9'])"
11194,Babybear,1003287593,3644,-30,JdKd,JK,Qd3c9c8cAh,False,JD KD QD 3C 9C 8C AH,"('high_card', 'A')"
